findings 72 | segments the text-only guard removes 2376

minW  slack   genuineDeliveriesDeleted   FP-findings   extraFabricatedSegmentsKept   segmentsRemoved   runsFullyPreserved
OFF   0               13             8                            16              2376                    0
5     0.6              2             2                           170              2211                    2
4     0.6              2             2                           170              2211                    2
3     0.6              1             1                           172              2208                    2
2     0.6              1             1                           177              2203                    2
1     0.6              0             0                           223              2156                    2

--- slack sweep at minW=1 ---
slack 0.4: lost=0 fp=0 extra=270 removed=2109 fullyPreserved=2
slack 0.6: lost=0 fp=0 extra=223 removed=2156 fullyPreserved=2
slack 0.8: lost=1 fp=1 extra=190 removed=2190 fullyPreserved=2
slack 1: lost=3 fp=3 extra=160 removed=2222 fullyPreserved=1
slack 1.2: lost=7 fp=6 extra=134 removed=2252 fullyPreserved=0

--- the SHORT findings (w < 3), shipped=keep 1 vs minW=1 ---
turbo#2 me 829.9-833.9 x6 w=1 deliveries=2 | shippedKeep=1 newKeep=2 lost 1->0 extra 0->0
turbo#5 me 1144.6-1153.6 x12 w=1 deliveries=1 | shippedKeep=1 newKeep=2 lost 0->0 extra 0->1
turbo#6 me 1563.9-1580.9 x6 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#7 me 1739.9-1746.9 x7 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#8 me 3731.4-3738.4 x9 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#9 me 4128.6-4157.7 x5 w=2 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#11 me 4885.2-4915.2 x7 w=2 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#12 others 505.7-514.7 x11 w=1 deliveries=0 | shippedKeep=1 newKeep=3 lost 0->0 extra 1->3
turbo#13 others 674.1-733.1 x5 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#14 others 1321.4-1325.4 x5 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#15 others 1405.5-1426.2 x6 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#16 others 1481.4-1490.4 x8 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
turbo#17 others 2244.7-2360.7 x47 w=1 deliveries=0 | shippedKeep=1 newKeep=15 lost 0->0 extra 1->15
turbo#20 others 4180.9-4187.9 x6 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#0 me 539.4-600 x17 w=1 deliveries=1 | shippedKeep=1 newKeep=5 lost 0->0 extra 0->4
q5#1 me 624.9-632.9 x5 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#2 me 906.7-925.2 x6 w=2 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#3 me 939.2-963.6 x10 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#6 me 1712.2-1722.2 x9 w=2 deliveries=0 | shippedKeep=1 newKeep=5 lost 0->0 extra 1->5
q5#7 me 2107.2-2175.5 x20 w=1 deliveries=0 | shippedKeep=1 newKeep=4 lost 0->0 extra 1->4
q5#8 me 2573.9-2679.9 x28 w=1 deliveries=0 | shippedKeep=1 newKeep=10 lost 0->0 extra 1->10
q5#9 me 2916.8-2936.8 x9 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#16 others 441.7-462.2 x5 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#17 others 683.9-734.2 x9 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#18 others 1407.6-1444.5 x7 w=2 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#26 others 3163.4-3257.4 x25 w=1 deliveries=0 | shippedKeep=1 newKeep=9 lost 0->0 extra 1->9
q5#27 others 3473-3478 x10 w=1 deliveries=1 | shippedKeep=1 newKeep=2 lost 0->0 extra 0->1
q5#28 others 3485-3510 x27 w=1 deliveries=1 | shippedKeep=1 newKeep=4 lost 0->0 extra 0->3
q5#36 others 4172.3-4184.5 x10 w=1 deliveries=1 | shippedKeep=1 newKeep=2 lost 0->0 extra 0->1
q5#37 others 4191.5-4200.5 x12 w=1 deliveries=1 | shippedKeep=1 newKeep=1 lost 0->0 extra 0->0
q5#39 others 4754.2-4762.2 x5 w=2 deliveries=1 | shippedKeep=1 newKeep=2 lost 0->0 extra 0->1
