template.hooks	1788479279.0099	1788479279.1108	copy-hooks
template.root	1788479279.1108	1788479279.2316	copy-root-scripts
template.settings	1788479279.2316	1788479279.2556	write-config-and-settings
template.sidecars	1788479279.2556	1788479280.0800	gen-sidecars
template	1788479279.0099	1788479280.0800	TOTAL
run	1788479280.1197	-	START
sandbox	1788479280.1252	1788479280.1558	TOTAL
case	1788479291.0537	-	1.committed-source-passes
sandbox	1788479291.0786	1788479291.1097	TOTAL
case	1788479312.9539	-	SC1.every-registered-hook-starts-in-a-sandbox
sandbox	1788479312.9690	1788479313.0014	TOTAL
case	1788479331.9966	-	SC2.NEGATIVE-CONTROL-deleted-lib-is-named-by-SC1
sandbox	1788479332.0114	1788479332.0435	TOTAL
case	1788479344.6263	-	2.install-noop-rc-0
case	1788479344.6315	-	2.post-install-probe-rc-0
sandbox	1788479344.6470	1788479344.6787	TOTAL
case	1788479354.6088	-	3.hook-removed-fails
sandbox	1788479354.6237	1788479354.6555	TOTAL
case	1788479365.4414	-	4.wrong-path-fails
sandbox	1788479365.4563	1788479365.5048	TOTAL
case	1788479378.2124	-	5.double-install-probe-still-rc-0
sandbox	1788479378.2275	1788479378.2637	TOTAL
case	1788479378.3897	-	6.install-source-missing-rc-2
sandbox	1788479378.4060	1788479378.4378	TOTAL
sandbox	1788479379.4084	1788479379.4407	TOTAL
case	1788479390.3109	-	M1.duplicated-registration-fails
sandbox	1788479390.3266	1788479390.3606	TOTAL
case	1788479402.5269	-	M2.post-migration-probe-passes
sandbox	1788479403.7567	1788479403.7948	TOTAL
case	1788479415.6542	-	M3.machine-specific-probe-passes
sandbox	1788479415.6693	1788479415.7015	TOTAL
case	1788479426.4274	-	M4.intra-file-duplication-fails
sandbox	1788479426.4421	1788479426.4741	TOTAL
case	1788479437.1729	-	8.shim-at-wrong-path-fails
sandbox	1788479437.1872	1788479437.2193	TOTAL
case	1788479448.1946	-	9.canonical-path-wrong-hash-fails
sandbox	1788479448.2093	1788479448.2428	TOTAL
case	1788479458.8631	-	10.symlink-to-outside-fails
sandbox	1788479458.8778	1788479458.9098	TOTAL
case	1788479469.6112	-	11.canonical-with-trailing-args-passes
case	1788479479.0943	-	11b.shim-with-trailing-args-fails
sandbox	1788479479.1093	1788479479.1419	TOTAL
case	1788479489.9731	-	12.canonical-fresh-clone-passes
sandbox	1788479489.9882	1788479490.0218	TOTAL
case	1788479500.7452	-	13.tamper-canonical-guard-fails
sandbox	1788479500.7602	1788479500.7929	TOTAL
case	1788479511.6614	-	14.tamper-canonical-agent-fails
sandbox	1788479511.6771	1788479511.7112	TOTAL
case	1788479522.5875	-	14a.tamper-guard-worktree-isolation-fails
sandbox	1788479522.6014	1788479522.6343	TOTAL
case	1788479533.4209	-	14b.tamper-reader-teammate-hint-fails
sandbox	1788479533.4364	1788479533.4683	TOTAL
case	1788479543.4963	-	14c.chain-entry-missing-fails
sandbox	1788479543.5115	1788479543.5437	TOTAL
case	1788479554.1665	-	14d.chain-out-of-order-fails
sandbox	1788479554.1809	1788479554.2131	TOTAL
case	1788479564.8449	-	15.inline-shim-replace-fails
sandbox	1788479564.8604	1788479564.8906	TOTAL
case	1788479575.6375	-	16.manifest-missing-fails
sandbox	1788479575.6516	1788479575.6826	TOTAL
case	1788479586.5064	-	17.manifest-wrong-hash-fails
sandbox	1788479586.5213	1788479586.5538	TOTAL
case	1788479599.6028	-	19.git-main-checkout-passes
case	1788479609.3164	-	20.git-worktree-invocation-passes
case	1788479618.5947	-	21.worktree-probe-targets-main-settings
case	1788479628.4825	-	32.git-untracked-ignored-settings-local-fails
case	1788479638.3371	-	33.git-untracked-not-ignored-warns-rc-0
sandbox	1788479638.3720	1788479638.4037	TOTAL
case	1788479638.4584	-	22.install-no-python3-refuses
sandbox	1788479638.4753	1788479638.5093	TOTAL
case	1788479638.5620	-	23.probe-no-python3-refuses
sandbox	1788479638.5796	1788479638.6117	TOTAL
case	1788479638.7896	-	24.install-missing-env-flag-refuses
sandbox	1788479638.8067	1788479638.8364	TOTAL
case	1788479638.9692	-	25.install-missing-baseref-refuses
sandbox	1788479638.9866	1788479639.0177	TOTAL
case	1788479650.6339	-	26.probe-catches-env-flag-removed-post-install
sandbox	1788479650.6511	1788479650.6830	TOTAL
case	1788479662.3519	-	27.probe-catches-baseref-removed-post-install
sandbox	1788479662.3676	1788479662.3999	TOTAL
case	1788479674.0472	-	28.both-keys-correct-probe-passes
sandbox	1788479674.0716	1788479674.1052	TOTAL
case	1788479684.3970	-	29.secrets-scanner-not-wired-fails
sandbox	1788479684.4133	1788479684.4444	TOTAL
case	1788479694.8724	-	30.secrets-scanner-tampered-fails
sandbox	1788479694.8895	1788479694.9214	TOTAL
case	1788479706.6211	-	31.secrets-scanner-broken-then-reinstalled-fails
sandbox	1788479706.6378	1788479706.6702	TOTAL
case	1788479716.9351	-	31c.dead-secrets-scanner-fails-layer-K
sandbox	1788479716.9521	1788479716.9841	TOTAL
case	1788479727.6794	-	34.definition-drift-pair-intact-probe-rc-0
sandbox	1788479727.6953	1788479727.7275	TOTAL
case	1788479737.9091	-	35.definition-snapshotter-unwired-fails-layerP
sandbox	1788479737.9249	1788479737.9576	TOTAL
case	1788479747.9578	-	36.definition-drift-guard-unwired-fails
sandbox	1788479747.9717	1788479748.0054	TOTAL
case	1788479758.1884	-	37.definition-drift-guard-tampered-fails
sandbox	1788479758.2022	1788479758.2334	TOTAL
case	1788479768.5387	-	37b.definition-snapshotter-tampered-fails-layerP
sandbox	1788479768.5534	1788479768.5850	TOTAL
case	1788479779.1767	-	38.definition-drift-guard-gutted-fails-layerP-canary
sandbox	1788479779.1910	1788479779.2209	TOTAL
case	1788479789.7970	-	38b.definition-drift-guard-overblocks-fails-layerP-canary
sandbox	1788479789.8136	1788479789.8440	TOTAL
case	1788479799.9788	-	39.definition-snapshotter-duplicated-fails
case	1788479803.6202	-	40.definition-drift-guard-suite-passes
sandbox	1788479803.6262	1788479803.6582	TOTAL
case	1788479814.2959	-	41.reaper-chain-intact-probe-rc-0
sandbox	1788479814.3114	1788479814.3431	TOTAL
case	1788479821.0653	-	42.reaper-wrapper-unwired-fails-layerQ
sandbox	1788479821.0823	1788479821.1178	TOTAL
case	1788479828.0333	-	43.reaper-wrapper-tampered-fails-layerQ
sandbox	1788479828.0482	1788479828.0798	TOTAL
case	1788479834.9368	-	44.reaper-script-tampered-fails-layerQ
sandbox	1788479834.9507	1788479834.9819	TOTAL
case	1788479841.8041	-	44b.reaper-sidecar-missing-fails-layerQ
sandbox	1788479841.8197	1788479841.8496	TOTAL
case	1788479850.3684	-	45.reaper-gutted-fails-layerQ-canary
sandbox	1788479850.3845	1788479850.4148	TOTAL
case	1788479858.9064	-	45c.reaper-overreaches-fails-layerQ-canary
sandbox	1788479858.9224	1788479858.9545	TOTAL
case	1788479865.8229	-	46.reaper-wrapper-duplicated-fails
sandbox	1788479865.8376	1788479865.8701	TOTAL
case	1788479877.5257	-	47b.post-install-probe-passes
case	1788479886.3324	-	48.reaper-wrapper-suite-passes
sandbox	1788479886.3387	1788479886.3683	TOTAL
case	1788479893.2366	-	49.agent-finish-trigger-revived-fails-layerQ
sandbox	1788479893.2531	1788479893.2846	TOTAL
case	1788479902.2015	-	50.wrapper-with-execute-fails-layerQ
