run	1788475594.0325	-	START
sandbox.hooks	1788475594.0388	1788475594.1385	copy-hooks
sandbox.root	1788475594.1385	1788475594.2598	copy-root-scripts
sandbox.settings	1788475594.2598	1788475594.2851	write-config-and-settings
sandbox.sidecars	1788475594.2851	1788475595.0873	gen-sidecars
sandbox	1788475594.0388	1788475595.0873	TOTAL
case	1788475606.7493	-	1.committed-source-passes
sandbox.hooks	1788475606.7667	1788475606.8580	copy-hooks
sandbox.root	1788475606.8580	1788475606.9819	copy-root-scripts
sandbox.settings	1788475606.9819	1788475607.0090	write-config-and-settings
sandbox.sidecars	1788475607.0090	1788475607.8369	gen-sidecars
sandbox	1788475606.7667	1788475607.8369	TOTAL
case	1788475625.1625	-	SC1.every-registered-hook-starts-in-a-sandbox
sandbox.hooks	1788475625.1776	1788475625.2741	copy-hooks
sandbox.root	1788475625.2741	1788475625.3981	copy-root-scripts
sandbox.settings	1788475625.3981	1788475625.4224	write-config-and-settings
sandbox.sidecars	1788475625.4224	1788475626.2264	gen-sidecars
sandbox	1788475625.1776	1788475626.2264	TOTAL
case	1788475640.8079	-	SC2.NEGATIVE-CONTROL-deleted-lib-is-named-by-SC1
sandbox.hooks	1788475640.8232	1788475640.9201	copy-hooks
sandbox.root	1788475640.9201	1788475641.0406	copy-root-scripts
sandbox.settings	1788475641.0406	1788475641.0652	write-config-and-settings
sandbox.sidecars	1788475641.0652	1788475641.8908	gen-sidecars
sandbox	1788475640.8232	1788475641.8908	TOTAL
case	1788475653.8703	-	2.install-noop-rc-0
case	1788475653.8767	-	2.post-install-probe-rc-0
sandbox.hooks	1788475653.8921	1788475653.9888	copy-hooks
sandbox.root	1788475653.9888	1788475654.1116	copy-root-scripts
sandbox.settings	1788475654.1116	1788475654.1366	write-config-and-settings
sandbox.sidecars	1788475654.1366	1788475655.0273	gen-sidecars
sandbox	1788475653.8921	1788475655.0273	TOTAL
case	1788475664.5754	-	3.hook-removed-fails
sandbox.hooks	1788475664.5909	1788475664.6878	copy-hooks
sandbox.root	1788475664.6878	1788475664.8146	copy-root-scripts
