run	1788482258.0491	-	START
sandbox.hooks	1788482258.0543	1788482258.1533	copy-hooks
sandbox.root	1788482258.1533	1788482258.2710	copy-root-scripts
sandbox.settings	1788482258.2710	1788482258.2938	write-config-and-settings
sandbox.sidecars	1788482258.2938	1788482259.1301	gen-sidecars
sandbox	1788482258.0543	1788482259.1301	TOTAL
case	1788482270.4029	-	1.committed-source-passes
sandbox.hooks	1788482270.4192	1788482270.5184	copy-hooks
sandbox.root	1788482270.5184	1788482270.6394	copy-root-scripts
sandbox.settings	1788482270.6394	1788482270.6646	write-config-and-settings
sandbox.sidecars	1788482270.6646	1788482271.5088	gen-sidecars
sandbox	1788482270.4192	1788482271.5088	TOTAL
case	1788482292.3932	-	SC1.every-registered-hook-starts-in-a-sandbox
sandbox.hooks	1788482292.4086	1788482292.5072	copy-hooks
sandbox.root	1788482292.5072	1788482292.6305	copy-root-scripts
sandbox.settings	1788482292.6305	1788482292.6559	write-config-and-settings
sandbox.sidecars	1788482292.6559	1788482293.4980	gen-sidecars
sandbox	1788482292.4086	1788482293.4980	TOTAL
case	1788482311.6508	-	SC2.NEGATIVE-CONTROL-deleted-lib-is-named-by-SC1
sandbox.hooks	1788482311.6677	1788482311.7676	copy-hooks
sandbox.root	1788482311.7676	1788482311.8892	copy-root-scripts
sandbox.settings	1788482311.8892	1788482311.9133	write-config-and-settings
sandbox.sidecars	1788482311.9133	1788482312.7506	gen-sidecars
sandbox	1788482311.6677	1788482312.7506	TOTAL
case	1788482324.5206	-	2.install-noop-rc-0
case	1788482324.5259	-	2.post-install-probe-rc-0
sandbox.hooks	1788482324.5408	1788482324.6355	copy-hooks
sandbox.root	1788482324.6355	1788482324.7562	copy-root-scripts
sandbox.settings	1788482324.7562	1788482324.7812	write-config-and-settings
sandbox.sidecars	1788482324.7812	1788482325.6149	gen-sidecars
sandbox	1788482324.5408	1788482325.6149	TOTAL
case	1788482335.0339	-	3.hook-removed-fails
sandbox.hooks	1788482335.0496	1788482335.1428	copy-hooks
sandbox.root	1788482335.1428	1788482335.2607	copy-root-scripts
sandbox.settings	1788482335.2607	1788482335.2855	write-config-and-settings
sandbox.sidecars	1788482335.2855	1788482336.1322	gen-sidecars
sandbox	1788482335.0496	1788482336.1322	TOTAL
case	1788482346.7265	-	4.wrong-path-fails
sandbox.hooks	1788482346.7411	1788482346.8373	copy-hooks
sandbox.root	1788482346.8373	1788482346.9700	copy-root-scripts
sandbox.settings	1788482346.9700	1788482346.9955	write-config-and-settings
sandbox.sidecars	1788482346.9955	1788482347.8304	gen-sidecars
sandbox	1788482346.7411	1788482347.8304	TOTAL
case	1788482360.2881	-	5.double-install-probe-still-rc-0
sandbox.hooks	1788482360.3058	1788482360.4090	copy-hooks
sandbox.root	1788482360.4090	1788482360.5293	copy-root-scripts
sandbox.settings	1788482360.5293	1788482360.5542	write-config-and-settings
sandbox.sidecars	1788482360.5542	1788482361.3904	gen-sidecars
