date        suite-wait_h  all-bash_h  agents
2026-07-27         0.0         0.0       3
2026-07-28         0.5         1.3      10
2026-07-30         0.0         1.0       9
2026-08-03         1.2         2.5       5
2026-08-04         0.4         3.2      11
2026-08-06         0.2         0.7      86
2026-08-07         0.0         0.0      45
2026-08-08         0.2         1.4      29
2026-08-09         0.0         1.6      29
2026-08-10         0.1         0.9     335
2026-08-11         0.3         1.0      14
2026-08-12         0.4         1.7     186
2026-08-13         0.1         0.4     184
2026-08-14         1.0         3.0      19
2026-08-15         0.4         1.8       9
2026-08-16         0.5         5.5      74
2026-08-17         0.1         2.9      12
2026-08-18         0.1         1.2       6
2026-08-19         0.0         1.1      49
2026-08-20         0.0         1.3       8
2026-08-22         0.1         0.1       1
2026-08-23         0.0         0.2       8
2026-08-24         0.0         1.0      48
2026-08-25         0.1         4.5      57
2026-08-26         0.0         2.7      21
2026-08-28         1.4         4.1      26
2026-08-29         3.5        11.0      36
2026-08-30         7.7        15.2      48
2026-08-31         4.7        12.7      21
2026-09-01         8.3        20.4      40
2026-09-02        10.3        13.8      40
2026-09-03         9.4        13.7      14
2026-09-04        10.9        17.4      37
2026-09-05        17.8        27.3      49
2026-09-06        21.2        30.0      46
2026-09-07         0.0         0.0       6
2026-09-08        10.6        11.4      15
2026-09-09         0.3         1.6      51
