check	events	class	host_act	host_act_verified	finding_sites	self_failure_sites	person_channel	author_channel	records	hatches	waivers	name_claim	name_agrees
guard-bash-main-writes.sh	PreToolUse	CONTROL	refuses-call	True	1	4	True	False	-	-	-	control	True
guard-brief-scope.sh	PreToolUse	CONTROL	refuses-call	True	1	0	False	False	-	brief-scope-acks.log	brief-scope-acks.log=0	control	True
guard-ceo-ask-first.sh	PreToolUse	CONTROL	refuses-call	True	1	1	True	False	-	ceo-todos-defers.log	ceo-todos-defers.log=401	control	True
guard-ceo-ruled-ask.sh	PreToolUse	CONTROL	refuses-call	True	2	1	True	False	-	-	-	control	True
guard-ceo-todos-commits.sh	PreToolUse	CONTROL	refuses-call	True	4	9	True	False	-	-	-	control	True
guard-ci-red-lands.sh	PreToolUse	CONTROL	refuses-call	True	2	2	True	False	-	ci-red-acks.log	ci-red-acks.log=116	control	True
guard-ci-turn-gate.sh	Stop	CONTROL	refuses-turn-end	True	1	0	True	False	-	-	-	control	True
guard-completeness-commits.sh	PreToolUse	CONTROL	refuses-call	True	5	7	True	False	-	-	-	control	True
guard-definition-drift.sh	PreToolUse	CONTROL	refuses-call	True	1	2	True	False	-	unevaluated-payloads.log,definition-drift.log,definition-drift-acks.log	definition-drift-acks.log=35,definition-drift.log=16,unevaluated-payloads.log=32	control	True
guard-dialect.sh	PreToolUse	CONTROL	refuses-call	True	2	8	True	False	-	-	-	control	True
guard-hook-registration-commits.sh	PreToolUse	CONTROL	refuses-call	True	4	4	True	False	-	hook-inventory-acks.log	hook-inventory-acks.log=0	control	True
guard-idle-land.sh	Stop	CONTROL	refuses-turn-end	True	1	0	True	False	-	-	-	control	True
guard-inflight-notify.sh	PreToolUse	CONTROL	refuses-call	True	1	9	True	False	-	-	-	control	True
guard-interactive-prompt.sh	PreToolUse	CONTROL	refuses-call	True	1	4	True	False	-	-	-	control	True
guard-main-checkout-writes.sh	PreToolUse	CONTROL	refuses-call	True	1	4	True	False	-	-	-	control	True
guard-model-ceiling.sh	PreToolUse	CONTROL	refuses-call	True	1	1	True	False	-	model-ceiling-acks.log	model-ceiling-acks.log=75	control	True
guard-named-persons-commands.sh	PreToolUse	CONTROL	refuses-call	True	2	8	True	False	-	-	-	control	True
guard-named-persons-writes.sh	PreToolUse	CONTROL	refuses-call	True	2	6	True	False	-	-	-	control	True
guard-owned-state.sh	PreToolUse	CONTROL	refuses-call	True	1	1	True	False	-	-	-	control	True
guard-publication-commits.sh	PreToolUse	CONTROL	refuses-call	True	5	9	True	False	-	-	-	control	True
guard-publication-writes.sh	PreToolUse	CONTROL	refuses-call	True	4	7	True	False	-	-	-	control	True
guard-resume-isolation.sh	PreToolUse	CONTROL	refuses-call	True	1	5	True	False	-	resume-acks.log	resume-acks.log=234	control	True
